id,name,family,description,question
1,End User,user,"See through the eyes of the ordinary end user","How would an average user experience this?"
2,Admin,user,"See through the eyes of the system administrator","What administration tools are missing or poorly designed?"
3,Newcomer,user,"See through the eyes of someone discovering the product","Is the onboarding intuitive without external help?"
4,Power User,user,"See through the eyes of an advanced and demanding user","What advanced features are missing or too slow?"
5,Frustrated User,user,"See through the eyes of someone who had a bad experience","Which friction points are unbearable over time?"
6,Performance,technique,"Analyze speed, latency, memory and CPU usage","Does the system remain smooth under real load?"
7,Scalability,technique,"Analyze the ability to scale up","What happens with 10x or 100x the current users?"
8,Maintainability,technique,"Analyze the ease of modifying and evolving the code","Can a new dev understand and modify it in under an hour?"
9,Testability,technique,"Analyze the ability to test the code in isolation","Can each module be tested without depending on others?"
10,Portability,technique,"Analyze the ease of changing environment or platform","Can the project run on another cloud or OS without a redesign?"
11,Cost,business,"Analyze operational and development costs","Is this technical choice too expensive to operate?"
12,Time-to-market,business,"Analyze the speed of feature delivery","How long to deliver the next critical feature?"
13,ROI,business,"Analyze the return on investment of the project","Does the invested effort produce measurable value?"
14,Business Risk,business,"Analyze strategic and market risks","What external events could make this project obsolete?"
15,Competition,business,"Analyze the position against competitors","Are competitors doing better? On which points exactly?"
16,External Attacker,securite,"Simulate an attacker with no initial access to the system","What attack surfaces are accessible from the outside?"
17,Malicious Insider,securite,"Simulate an internal user with malicious intent","Can a dishonest employee extract or corrupt data?"
18,Compliance,securite,"Verify compliance with applicable regulations","GDPR, PCI-DSS, HIPAA: which obligations are not met?"
19,Privacy,securite,"Analyze the collection and processing of personal data","Are we collecting more data than necessary?"
20,Supply Chain,securite,"Analyze risks related to external dependencies","Would a compromised dependency impact the system?"
21,Short Term,temps,"Analyze the impact over the next 1 to 3 months","Does this decision create short-term debt?"
22,Medium Term,temps,"Analyze the impact over the next 6 months","Will the architecture hold with 2x growth?"
23,Long Term,temps,"Analyze the impact over 2 years and beyond","Will this choice still be relevant in 2 years?"
24,Legacy,temps,"Analyze what this project will leave behind after its end or a pivot","If we start from scratch tomorrow, what is worth keeping?"
25,Pre-mortem,echec,"Imagine the project has failed and trace back the cause","It failed in 6 months. Why?"
26,Worst Case,echec,"Identify the most likely catastrophic scenario","What sequence of events would lead to the worst outcome?"
27,Domino Effect,echec,"Analyze cascading failures","If this component goes down, what goes down with it?"
28,Point of No Return,echec,"Identify irreversible decisions","What decision made today would be impossible to undo tomorrow?"
29,Anti-brainstorm,inversion,"Invert the problem: how to make it even worse?","How could we deliberately sabotage this project?"
30,Remove Constraints,inversion,"Imagine the main constraint disappears","If the budget were unlimited, what would we do differently?"
31,Competitor View,inversion,"Analyze from the position of a direct competitor","How would a competitor exploit our current weaknesses?"
